ID,档位,类型,主题,需明确同意,来源,题目
t101,轻松,真心话,历史题库,否,v8,今天发生过最让你开心的一件小事是什么？
t102,轻松,真心话,历史题库,否,v8,你最想立刻学会的一项技能是什么？
t103,轻松,真心话,历史题库,否,v8,最近反复听的一首歌是什么？
t104,轻松,真心话,历史题库,否,v8,如果明天不用工作，你会怎样安排一天？
t105,轻松,真心话,历史题库,否,v8,你小时候最相信、现在觉得最好笑的事情是什么？
t106,轻松,真心话,历史题库,否,v8,你最满意自己身上的哪个优点？
t107,轻松,真心话,历史题库,否,v8,现场谁最适合一起旅行？为什么？
t108,轻松,真心话,历史题库,否,v8,你手机里使用时间最长的应用是什么？
t109,轻松,真心话,历史题库,否,v8,你最想重新体验一次的快乐记忆是什么？
t110,轻松,真心话,历史题库,否,v8,如果能养一种不受现实限制的宠物，你会选什么？
t111,轻松,真心话,历史题库,否,v8,你最喜欢别人怎样称赞你？
t112,轻松,真心话,历史题库,否,v8,你做过最有仪式感的一件事是什么？
t113,轻松,真心话,历史题库,否,v8,最近一次让你笑到停不下来是因为什么？
t114,轻松,真心话,历史题库,否,v8,你最离不开的一件日常用品是什么？
t115,轻松,真心话,历史题库,否,v8,如果能立即去一个城市住一个月，你会去哪？
t116,轻松,真心话,历史题库,否,v8,你觉得自己最像哪种动物？为什么？
t117,轻松,真心话,历史题库,否,v8,你最想保留到老年的一个习惯是什么？
t118,轻松,真心话,历史题库,否,v8,现场谁的穿搭最符合你的审美？
v9-t1-0001,轻松,真心话,日常偏好,否,v9-expansion,你理想中的做饭是什么样？
v9-t1-0002,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种乐观？
v9-t1-0003,轻松,真心话,想象选择,否,v9-expansion,如果明天醒来就掌握一种摄影能力，你希望具体是什么？
v9-t1-0004,轻松,真心话,轻松表达,否,v9-expansion,你最喜欢自己名字里的哪个字或声音？
v9-t1-0005,轻松,真心话,快乐记忆,否,v9-expansion,如果可以重播一次关于被人认真夸奖的记忆，你会选哪一次？
v9-t1-0006,轻松,真心话,日常偏好,否,v9-expansion,关于朋友聚会，你最想尝试的一个新变化是什么？
v9-t1-0007,轻松,真心话,社交观察,否,v9-expansion,你希望别人记住你的哪一种松弛感？
v9-t1-0008,轻松,真心话,想象选择,否,v9-expansion,如果能把一种生活技能提升到专业水平，你会选哪一种？
v9-t1-0009,轻松,真心话,轻松表达,否,v9-expansion,用三个不重复的词描述你今天的状态。
v9-t1-0010,轻松,真心话,快乐记忆,否,v9-expansion,关于拍到满意的照片，你最想感谢当时的谁？
v9-t1-0011,轻松,真心话,日常偏好,否,v9-expansion,如果只能保留一个和独处时间有关的习惯，你会保留什么？
v9-t1-0012,轻松,真心话,社交观察,否,v9-expansion,别人表现出很强的观察力时，你会觉得加分吗？
v9-t1-0013,轻松,真心话,想象选择,否,v9-expansion,如果今天可以暂停所有责任去练习社交能力，你会怎么安排？
